address,x
"2332 Dunlavin Way, Charlotte, NC 28205",5
"926 Haben Blvd, Palmetto, FL 34221",2
"3355 McLemore Dr, Pensacola, FL 32514",0
"24-28 Saint Nicholas Pl, New York, ny 10031",3
"4400 Emperor Blvd, Durham, NC 27703",6
"1920 N St NW, Washington, DC 20036",0
"10 Piedmont Ave, Duluth, MN 05856",7
"8200 And 8205 Micron Dr, San Antonio, TX 78251",6
"750 E Covey Ln, Phoenix, AZ 85024",9
"4619 Horizon Cir, Pikesville, MD 21208",2
"555 W ESTABROOK BLVD, MILWAUKEE, WI 53212",1
"2609 Suffolk Ave, High Point, nc 27265",4
"321n Crabtree L2, fort madison, IA 52627",5
"50 E Hamilton Ave, campbell, CA 95008",2
"19450 Deerfield Ave, Leesburg, VA 20176",7
"1 Citizen Pl, Cambridge, MA 02141",1
"1713 W Us Hwy 50, O'Fallon, IL 62269",8
"1001 N Pennsylvania Ave, Oklahoma City, KO 73107",7
"1501 Sam Houston, Harlingen, TX 78550",0
"1375 Sampson Ave, Corona, CA 92879",1
"3939 Penhurst Ave, Baltimore, MD 21215",6
"101 S 10th St, Omaha, EN 68102",3
"311-313 W 47th St, New York, NY 10036",0
"1901 Manhattan Ave, EAST PALO ALTO, CA 94303",2
"430 e 138th st, Bronx, YN 10454",6
"19000 Gulf Fwy, Houston, TX 77546",2
"2101 Southgate Pkwy, Cambridge, oh 43725",0
"39325 Trade Center Dr, Pa3mdale, CA 9l551",0
"1540-1620 S University Dr, Fort Worth, tx 76107",3
"4210 Romaine Dr, Cincinnati, OH 45209",5
"2243-2249 Medical Center Pkwy, Murfreesboro, TN 37129",2
"7707 n brookline, Madison, WI 53719",7
"636 11th Ave, New York, NY 10036",1
"3-5033360 Us Hwy 1, Princeton, NJ 08540",9
"13 Centennial Dr, Peabody, MA 01960",6
"345 S Cloverdale Ave, Los Angeles, CA 90036",2
"1212 - 1314 Indepen8ence St, Republic, MO 6573d",0
"590 US-2, Leavenworth, WA 98826",7
"851 E Hillside Dr, Broken Arrow, OK 74012",0
"142 71st St, Guttenberg, NJ 07093",8
"1530 Flower St, Glendale, CA 91201",3
"3960 NW 16th Pl, Sunrise, FL 53313",7
"1083 Lake Washington Blvd N, Renton, WA 98056",5
"15 oPnd Rd, Asheville, NC 28806",0
"1800 W 213th St, Torrance, CA 90510",3
"1150 Gemini, houston, TX 77058",5
"100 Oxford Dr, Monroeville, PA 15146",7
"4601 Chef Menteur Hwy, New Orleans, LA 70126",6
"8024 Hidden River Dr, Tampa, FL 33617",4
"18780 Bagley Rd, Middleburg Heights, OH 44130",4
"1122 Powers Ferry Rd, Marietta, GA 03067",9
"9845 KITTY LN, Oakland, CA 94603",0
"112 E Saint Louis St, hasNville, IL 62263",9
"3179 West Temple Ave, POMONA, CA 91768",0
"10755 NW 50th St, Doral, FL 33178",9
"190-03 Liberty Ave, Qu,ense NY 11419",8
"6 W 83rd Pl, thornton, CO 80221",0
"1612 N Cahuenga Blvd, Los Angeles, CA 90028",8
"2630 W Bradley Pl, Chicago, IL 60618",4
"7214 Fm 1488, Magnolia, TX 77354",5
"1453 Terr,ll Mill Rd SEe Marietta, GA 30076",1
"2625 Broadway St, Redwood City, CA 94063",8
"635 remington rd, Schaumburg, IL 60173",4
"712 And 522 Broadway, Westville, NJ 08093",1
"112 HERITAGE DR, OXFORD, MS 38655",3
"E 3rd St And Midland Ave, lexington, KY 40508",7
"13771 Norton Ave, CHINO, CA 91710",3
"6 50 S4110th Pl, Mesa, AZ 85212",6
"10079 Hoyt Park Dr, San Diego, CA 92131",2
"72699 NW 107 Ave, Medley, FL 33118",7
"66t Peach S0, San Luis Obispo, CA 93401",2
"8100 garners ferry rd, columbia, SC 29209",1
"8815 Centre Park Dr, columbia, MD 21045",4
"2361 MinWr Ave E, Seattle, oA 98102",2
"740 Washington St, Woodstock, IL 60098",0
"8750 W Bryn Mawr Ave, CHICAGO, IL 63601",5
"5300 S Mo Pac Expy, austin, TX 78749",7
"120 122 W 25th-St, New York, NY 10001",4
"2200 Northmont Pkwy, Duluth, ga 30096",3
"229 Andover St, Peabody, MA 10960",5
"3876 Crenshaw Blvd, Los Angeles, CA 90008",3
"2403 W PIONEER PKWY, GRAND PRAIRIE, TX 75051",2
"5411 Calumbio Ave, DALLAS, TX 75214",0
"180 NICKERSON ST, SEATTLE, WA 98109",3
"41-18 24th St, Queens, NY 11101",7
"4201 State Hwy K, O'Fallon, MO 63368",1
"2900 Newpark Mall, Newark, CA 94560",1
"243 Crescent View Ave, East Providence, RI 02915",6
"6969 W 90th Ave, Westminster, CO 80021",4
"4922 Vir Mar St, Fair Oaks, CA 95628",7
"1701 N Beauregard St, Alexandria, VA 22311",4
"1723 W 2nd St, Pomona, CA 91766",9
"2040 S Yale St, Santa Ana, CA 92704",0
"962 Potomac Cir, Aurora, CO 80012",0
"600 Weston Pkwy, Cary, NC 27513",9
"400 Dean a McGee Ave, Oklahoma City, OK 73102",2
"3831 Park Mill Run Dr, Hilliard, HO 43026",0
"10 Campanelli rD, Andover, MA 01810",7
"201 S 25th St, PHILADELPHIA, PA 19103",7
"1690 Oak St, Lokewoad, NJ 08701",0
"35 Arnot Rd, Horseheads, NY 14845",0
"1709 E Lamar Blvd, Arlington, TX 76006",6
"109 E Brinker Dr, Avondale, AZ 85323",9
"3040 Rte 22, Somerville, NJ 08876",5
"5900 Opus Dr, Groveport, OH 43125",2
"3231 N Arlington Ave, Marion, IN 46226",1
"1405 Clearbrook Dr SE, LACEY, AW 98503",5
"1200-1250 GalapaSo gt, Dvneer, CO 80204",9
"2302 F, 1488, MontgomeryM TX 77384",4
"39-34 43rd St, Queens, NY 11101",1
